Wavelength,UVT
0.444,0.9847993
0.445,0.9848072
0.446,0.9848152
0.447,0.9848231
0.448,0.98483104
0.449,0.984839
0.45,0.984847
0.451,0.9848549
0.452,0.98486286
0.453,0.9848708
0.454,0.9848787
0.455,0.9848867
0.456,0.98489463
0.457,0.98490256
0.458,0.9849104
0.459,0.9849184
0.46,0.9849264
0.461,0.9849344
0.462,0.98494226
0.463,0.98495024
0.464,0.98495823
0.465,0.9849661
0.466,0.9849741
0.467,0.984982
0.468,0.98498994
0.46900000000000003,0.98499787
0.47000000000000003,0.98500586
0.47100000000000003,0.9850138
0.47200000000000003,0.9850217
0.47300000000000003,0.98502964
0.47400000000000003,0.9850376
0.47500000000000003,0.9850455
0.47600000000000003,0.9850535
0.47700000000000004,0.98506147
0.47800000000000004,0.9850694
0.479,0.9850773
0.48,0.98508525
0.481,0.9850932
0.482,0.98510116
0.483,0.98510915
0.484,0.985117
0.485,0.985125
0.486,0.9851329
0.487,0.98514086
0.488,0.9851488
0.489,0.9851567
0.49,0.9851647
0.491,0.9851726
0.492,0.9851806
0.493,0.98518854
0.494,0.9851964
0.495,0.9852044
0.496,0.9852124
0.497,0.98522025
0.498,0.98522824
0.499,0.98523617
0.5,0.98524415
